,city,cloudiness,country,humidity,latitude,temperature,wind speed
523,teknaf,0,BD,90,20.86,54.26,4.38
524,sao filipe,0,CV,97,14.9,72.26,14.56
525,kazalinsk,0,CV,97,14.9,72.26,14.56
526,ozieri,0,IT,100,40.59,41.0,1.12
527,tessalit,0,ML,32,20.2,42.74,3.83
528,waipawa,92,NZ,99,-39.94,61.64,14.34
529,ranfurly,68,CA,88,53.41,6.79,5.95
530,itororo,48,BR,94,-15.12,72.58,6.4
531,killybegs,92,IE,100,54.63,45.49,18.03
532,codrington,0,AU,48,-28.95,84.2,6.93
533,goderich,88,CA,88,43.74,29.83,18.03
534,kemin,88,KG,98,42.79,22.0,1.92
535,george town,75,MY,83,5.42,78.8,3.36
536,saint anthony,90,US,74,43.97,24.8,9.17
537,sirjan,80,IR,74,29.44,40.31,2.93
538,cockburn town,0,TC,100,21.46,78.56,4.72
539,bucerias,75,MX,78,20.76,80.6,8.05
540,bardiyah,75,MX,78,20.76,80.6,8.05
541,birjand,0,IR,86,32.86,39.2,4.7
542,haizhou,0,CN,100,34.58,24.79,3.94
543,shingu,40,JP,61,33.72,46.4,11.41
544,mwinilunga,36,ZM,98,-11.73,60.79,3.83
545,tapalpa,64,MX,75,19.94,64.57,1.03
546,bundaberg,75,AU,54,-24.87,84.2,6.93
547,ponferrada,8,ES,80,42.55,23.84,2.04
548,sao gabriel da cachoeira,48,BR,85,-0.13,78.29,3.04
549,nizhniy odes,92,RU,85,63.64,21.46,6.62
550,reichenau,75,DE,86,51.25,39.2,14.99
551,narsaq,80,GL,80,60.91,30.2,2.24
552,malakal,80,GL,80,60.91,30.2,2.24
553,buala,24,SB,89,-8.15,85.0,3.15
554,uchiza,64,PE,95,-8.46,69.52,2.48
555,emerald,0,AU,58,-23.53,82.4,12.75
556,sicuani,92,PE,99,-14.27,41.98,0.69
557,palabuhanratu,92,PE,99,-14.27,41.98,0.69
558,belmonte,36,PT,78,40.36,29.47,1.36
559,sumenep,92,ID,100,-7.02,78.61,10.09
560,yambio,92,ID,100,-7.02,78.61,10.09
561,gravdal,92,NO,80,59.79,41.0,16.11
562,taywarah,12,AF,90,33.35,26.59,2.26
563,morant bay,75,JM,69,17.88,78.8,2.24
564,zhoucheng,32,CN,86,31.35,30.2,4.47
565,sorland,32,NO,100,67.67,31.09,2.04
566,muros,75,ES,93,42.77,48.2,5.82
567,half moon bay,90,US,82,37.46,55.4,15.57
568,da nang,90,US,82,37.46,55.4,15.57
569,kolpashevo,68,RU,87,58.31,13.63,5.17
570,ocosingo,20,MX,87,16.91,61.96,1.92
571,carballo,75,ES,93,43.21,46.4,2.24
572,jabiru,75,ES,93,43.21,46.4,2.24
573,brainerd,1,US,72,46.36,28.4,17.22
574,sibay,24,RU,47,52.72,-2.71,5.17
575,porto walter,32,BR,91,-8.27,76.76,2.15
576,kavaratti,0,IN,100,10.57,82.03,9.64
577,wundanyi,56,KE,97,-3.4,67.9,2.71
578,takaka,0,NZ,74,-40.86,68.57,3.6
579,bilma,0,NE,36,18.69,40.94,6.29
580,port macquarie,0,AU,58,-31.43,84.2,12.75
581,greenwood,0,US,62,32.03,57.74,8.05
582,lufilufi,48,WS,97,-13.87,85.63,14.23
583,vanavara,76,RU,86,60.35,1.84,5.95
584,shirgaon,76,RU,86,60.35,1.84,5.95
585,kassala,0,SD,78,15.45,60.43,2.71
586,nishihara,20,JP,56,35.74,46.4,11.41
587,pout,20,JP,56,35.74,46.4,11.41
588,qasigiannguit,40,GL,77,68.82,5.0,5.82
589,baft,48,IR,82,29.23,27.58,1.92
590,itacoatiara,0,BR,71,-3.14,82.39,6.06
591,pinhao,0,BR,92,-25.7,70.96,1.36
592,chinhoyi,36,ZW,92,-17.36,64.66,5.17
593,salinas,90,US,96,36.67,57.2,3.36
594,morondava,88,MG,88,-20.3,82.79,2.48
